Author,Quote
Terrence McKenna,"""Ego is a structure that is erected by a neurotic individual who is a member of a neurotic culture against the facts of the matter. And culture, which we put on like an overcoat, is the collectivized consensus about what sort of neurotic behaviors are acceptable."""
Bil Keane,"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present."
Tupak Shakur,"It's not black against white. When I say 'we,' it's the good against the evil."
Simone Weil,"Imaginary evil is romantic and varied; real evil is gloomy, monotonous, barren, boring. Imaginary good is boring; real good is always new, marvelous, intoxicating."
Johannes Kepler,"Where there is matter, there is geometry."
Werner Heisenberg,"The first gulp from the glass of natural sciences will turn you into an atheist, but at the bottom of the class God is waiting for you."
Manly P. Hall,"The world knows many religions, but nature has but one truth."
Frank Herbert,All governments suffer a recurring problem: power attracts pathological personalities.
Friedrich Nietzsche,"Will to power is the primitive motive force, out of which all other motives have been derived."
A. Hicks,"""When you no longer split your flow of energy with contradictory thoughts, you will know your power."""
Winston Churchill,"""Every prophet has to come from civilization, but every process has to go into the wilderness. This is the process by which psychic dynamite is made."""
Henri Bergson,"""Fortunately, some are born with spiritual immune systems that sooner or later give rejection to the illusory worldview grafted upon them from birth through social conditioning. They begin sensing that something is amiss, and start looking for answers. Inner knowledge and anamalous outer experiences show them a side of reality others are oblivious to. And so begins their journey of awakening. Each step of the journey is made by following their heart instead of following the crowd and by choosing knowledge over the veils of ignorance."""
Albert Einstein,"We are slowed down sound and light waves, a walking bundle of frequencies turned into the cosmos. We are souls dressed up in sacred biochemical garments and our bodies are the instruments through which out souls play their music."
Paulo Coelho,Visit your soul; don't visit your past.
Nicolás Gómez Dávila,"""Hierarchies are celestial. In hell all are equal."""
Rumi,"""Silence is the language of God. All else is poor translation."""
Carl G. Jung,Anyone who perceives his shadow and his light simultaneously sees himself from two sides and thus gets in the middle.
Itachi Uchiha,"True Change cannot be made if it is bound by laws and limitations, predictions and imagination."""
Itachi Uchiha,"""Knowledge and awareness are vague, and perhaps better called illusions. Everyone lives within their own subjective interpretation."""
Jac O'Keeffe,"""Everything will be taken from you on this path. Everything. It's easier to let go than to hold."""
Rumi,"""Drain out your desire till the cup carries grace. There is no one there looking back, look here."""
,"""We're all just a ship of fools chasing phantoms, heedless of what really underwrites natural law."""
